"ano","semana","Unidade da Federação","total","SARS-CoV-2"
2009," 01","Rondônia",0,0
2009," 02","Rondônia",0,0
2009," 03","Rondônia",0,0
2009," 04","Rondônia",0,0
2009," 05","Rondônia",0,0
2009," 06","Rondônia",0,0
2009," 07","Rondônia",0,0
2009," 08","Rondônia",0,0
2009," 09","Rondônia",0,0
2009," 10","Rondônia",0,0
2009," 11","Rondônia",0,0
2009," 12","Rondônia",0,0
2009," 13","Rondônia",0,0
2009," 14","Rondônia",0,0
2009," 15","Rondônia",0,0
2009," 16","Rondônia",0,0
2009," 17","Rondônia",0,0
2009," 18","Rondônia",0,0
2009," 19","Rondônia",0,0
2009," 20","Rondônia",0,0
2009," 21","Rondônia",0,0
2009," 22","Rondônia",0,0
2009," 23","Rondônia",0,0
2009," 24","Rondônia",0,0
2009," 25","Rondônia",0,0
2009," 26","Rondônia",0,0
2009," 27","Rondônia",0,0
2009," 28","Rondônia",0,0
2009," 29","Rondônia",1,0
2009," 30","Rondônia",2,0
2009," 31","Rondônia",10,0
2009," 32","Rondônia",6,0
2009," 33","Rondônia",6,0
2009," 34","Rondônia",8,0
2009," 35","Rondônia",17,0
2009," 36","Rondônia",9,0
2009," 37","Rondônia",1,0
2009," 38","Rondônia",1,0
2009," 39","Rondônia",2,0
2009," 40","Rondônia",0,0
2009," 41","Rondônia",0,0
2009," 42","Rondônia",2,0
2009," 43","Rondônia",0,0
2009," 44","Rondônia",0,0
2009," 45","Rondônia",0,0
2009," 46","Rondônia",2,0
2009," 47","Rondônia",0,0
2009," 48","Rondônia",0,0
2009," 49","Rondônia",1,0
2009," 50","Rondônia",0,0
2009," 51","Rondônia",1,0
2009," 52","Rondônia",0,0
2010," 01","Rondônia",0,0
2010," 02","Rondônia",0,0
2010," 03","Rondônia",0,0
2010," 04","Rondônia",2,0
2010," 05","Rondônia",0,0
2010," 06","Rondônia",1,0
2010," 07","Rondônia",0,0
2010," 08","Rondônia",0,0
2010," 09","Rondônia",4,0
2010," 10","Rondônia",8,0
2010," 11","Rondônia",16,0
2010," 12","Rondônia",8,0
2010," 13","Rondônia",10,0
2010," 14","Rondônia",24,0
2010," 15","Rondônia",8,0
2010," 16","Rondônia",5,0
2010," 17","Rondônia",3,0
2010," 18","Rondônia",2,0
2010," 19","Rondônia",2,0
2010," 20","Rondônia",1,0
2010," 21","Rondônia",1,0
2010," 22","Rondônia",0,0
2010," 23","Rondônia",0,0
2010," 24","Rondônia",0,0
2010," 25","Rondônia",0,0
2010," 26","Rondônia",1,0
2010," 27","Rondônia",0,0
2010," 28","Rondônia",0,0
2010," 29","Rondônia",0,0
2010," 30","Rondônia",0,0
2010," 31","Rondônia",0,0
2010," 32","Rondônia",1,0
2010," 33","Rondônia",0,0
2010," 34","Rondônia",0,0
2010," 35","Rondônia",0,0
2010," 36","Rondônia",0,0
2010," 37","Rondônia",0,0
2010," 38","Rondônia",0,0
2010," 39","Rondônia",0,0
2010," 40","Rondônia",0,0
2010," 41","Rondônia",0,0
2010," 42","Rondônia",0,0
2010," 43","Rondônia",0,0
2010," 44","Rondônia",0,0
2010," 45","Rondônia",0,0
2010," 46","Rondônia",0,0
